2025-04-23 10:03:28.765696 | XAUUSDm | SELL | Entry: 3324.841 | SL: 3340.54 | TP: 3246.37
2025-04-23 10:08:29.197516 | XAUUSDm | SELL | Entry: 3325.938 | SL: 3340.54 | TP: 3252.95
2025-04-23 10:13:32.238165 | XAUUSDm | SELL | Entry: 3329.935 | SL: 3340.54 | TP: 3276.93
2025-04-23 10:28:32.252175 | XAUUSDm | BUY | Entry: 3333.496 | SL: 3318.46 | TP: 3408.68
2025-04-23 10:33:35.556885 | XAUUSDm | BUY | Entry: 3330.23 | SL: 3315.62 | TP: 3403.27
2025-04-23 10:38:35.564656 | XAUUSDm | BUY | Entry: 3329.904 | SL: 3315.27 | TP: 3403.08
2025-04-23 10:43:35.572890 | XAUUSDm | BUY | Entry: 3328.646 | SL: 3313.77 | TP: 3403.02
2025-04-23 10:48:35.581771 | XAUUSDm | SELL | Entry: 3327.818 | SL: 3340.54 | TP: 3264.23
2025-04-23 10:53:35.587944 | XAUUSDm | SELL | Entry: 3328.294 | SL: 3340.54 | TP: 3267.08
2025-04-23 10:58:35.595039 | XAUUSDm | SELL | Entry: 3330.034 | SL: 3340.54 | TP: 3277.52
2025-04-23 11:03:35.603953 | XAUUSDm | SELL | Entry: 3325.302 | SL: 3339.79 | TP: 3252.85
2025-04-23 11:08:35.886874 | XAUUSDm | SELL | Entry: 3324.795 | SL: 3339.29 | TP: 3252.34
2025-04-23 11:13:36.197904 | XAUUSDm | SELL | Entry: 3329.879 | SL: 3340.54 | TP: 3276.59
2025-04-23 11:18:36.203732 | XAUUSDm | BUY | Entry: 3335.713 | SL: 3321.21 | TP: 3408.23
2025-04-23 11:23:43.727711 | XAUUSDm | BUY | Entry: 3338.256 | SL: 3323.47 | TP: 3412.21
2025-04-23 11:29:47.321961 | XAUUSDm | BUY | Entry: 3336.173 | SL: 3321.31 | TP: 3410.48
2025-04-23 11:50:07.572357 | XAUUSDm | SELL | Entry: 3332.0 | SL: 3339.05 | TP: 3296.75
2025-04-23 11:55:11.397169 | XAUUSDm | SELL | Entry: 3324.939 | SL: 3338.72 | TP: 3256.03
2025-04-23 12:05:11.782803 | XAUUSDm | SELL | Entry: 3321.986 | SL: 3336.13 | TP: 3251.24
2025-04-23 12:10:11.790760 | XAUUSDm | SELL | Entry: 3318.687 | SL: 3333.05 | TP: 3246.89
2025-04-23 12:20:11.799908 | XAUUSDm | BUY | Entry: 3325.511 | SL: 3313.75 | TP: 3384.31
2025-04-23 12:25:14.303794 | XAUUSDm | BUY | Entry: 3329.14 | SL: 3313.75 | TP: 3406.08
2025-04-23 12:50:17.580905 | XAUUSDm | SELL | Entry: 3316.851 | SL: 3332.25 | TP: 3239.85
2025-04-23 12:55:20.245109 | XAUUSDm | SELL | Entry: 3316.565 | SL: 3332.28 | TP: 3237.97
2025-04-23 13:00:20.499838 | XAUUSDm | SELL | Entry: 3312.95 | SL: 3328.54 | TP: 3234.98
