2025-07-01 19:02:44.134552 | BTCUSDm | BUY | Entry: 105680.17 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:03:18.789767 | BTCUSDm | SELL | Entry: 105620.41 | TP: 105500.41 | SL: None | Lot: 0.01
2025-07-01 19:03:19.327208 | BTCUSDm | SELL | Entry: 105611.98 | TP: 105500.41 | SL: None | Lot: 0.01
2025-07-01 19:03:20.653183 | BTCUSDm | BUY | Entry: 105671.98 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:03:55.296837 | BTCUSDm | SELL | Entry: 105620.41 | TP: 105500.41 | SL: None | Lot: 0.01
2025-07-01 19:03:55.648866 | BTCUSDm | SELL | Entry: 105661.0 | TP: 105500.41 | SL: None | Lot: 0.01
2025-07-01 19:03:56.972885 | BTCUSDm | BUY | Entry: 105721.0 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:07:01.000952 | BTCUSDm | SELL | Entry: 105627.96 | TP: 105507.96 | SL: None | Lot: 0.01
2025-07-01 19:07:01.330989 | BTCUSDm | SELL | Entry: 105624.91 | TP: 105507.96 | SL: None | Lot: 0.01
2025-07-01 19:07:04.144836 | BTCUSDm | BUY | Entry: 105684.91 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:11:47.299780 | BTCUSDm | BUY | Entry: 105714.57 | TP: 105834.57 | SL: None | Lot: 0.01
2025-07-01 19:11:47.633307 | BTCUSDm | BUY | Entry: 105729.72 | TP: 105834.57 | SL: None | Lot: 0.01
2025-07-01 19:11:50.448772 | BTCUSDm | SELL | Entry: 105669.72 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:13:00.142331 | BTCUSDm | SELL | Entry: 105691.57 | TP: 105571.57 | SL: None | Lot: 0.01
2025-07-01 19:13:00.655392 | BTCUSDm | SELL | Entry: 105691.57 | TP: 105571.57 | SL: None | Lot: 0.01
2025-07-01 19:13:03.466276 | BTCUSDm | BUY | Entry: 105751.57 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:13:37.167854 | BTCUSDm | SELL | Entry: 105691.57 | TP: 105571.57 | SL: None | Lot: 0.01
2025-07-01 19:13:37.827931 | BTCUSDm | SELL | Entry: 105714.5 | TP: 105571.57 | SL: None | Lot: 0.01
2025-07-01 19:13:40.679219 | BTCUSDm | BUY | Entry: 105774.5 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:21:10.320893 | BTCUSDm | BUY | Entry: 105738.61 | TP: 105858.61 | SL: None | Lot: 0.01
2025-07-01 19:21:10.693985 | BTCUSDm | BUY | Entry: 105740.5 | TP: 105858.61 | SL: None | Lot: 0.01
2025-07-01 19:21:13.200804 | BTCUSDm | SELL | Entry: 105680.5 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:24:48.404302 | BTCUSDm | BUY | Entry: 105815.93 | TP: 105935.93 | SL: None | Lot: 0.01
2025-07-01 19:24:48.730304 | BTCUSDm | BUY | Entry: 105884.19 | TP: 105935.93 | SL: None | Lot: 0.01
2025-07-01 19:24:51.044032 | BTCUSDm | SELL | Entry: 105824.19 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:31:00.784741 | BTCUSDm | SELL | Entry: 105816.51 | TP: 105696.51 | SL: None | Lot: 0.01
2025-07-01 19:31:01.300894 | BTCUSDm | SELL | Entry: 105806.31 | TP: 105696.51 | SL: None | Lot: 0.01
2025-07-01 19:31:03.819202 | BTCUSDm | BUY | Entry: 105866.31 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:31:37.803486 | BTCUSDm | SELL | Entry: 105816.51 | TP: 105696.51 | SL: None | Lot: 0.01
2025-07-01 19:31:38.120486 | BTCUSDm | SELL | Entry: 105871.53 | TP: 105696.51 | SL: None | Lot: 0.01
2025-07-01 19:31:40.444794 | BTCUSDm | BUY | Entry: 105931.53 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:38:13.779319 | BTCUSDm | BUY | Entry: 105736.24 | TP: 105856.24 | SL: None | Lot: 0.01
2025-07-01 19:38:14.275291 | BTCUSDm | BUY | Entry: 105779.06 | TP: 105856.24 | SL: None | Lot: 0.01
2025-07-01 19:38:16.738644 | BTCUSDm | SELL | Entry: 105719.06 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:38:49.649677 | BTCUSDm | BUY | Entry: 105736.24 | TP: 105856.24 | SL: None | Lot: 0.01
2025-07-01 19:38:49.972723 | BTCUSDm | BUY | Entry: 105714.73 | TP: 105856.24 | SL: None | Lot: 0.01
